wsid,hr,temp,hmdy,wdsp,gust,gbrd
303,9,17.8,93.0,1.6,3.9,0.0
303,18,28.8,65.0,3.0,6.2,2094.229
303,3,20.9,90.0,2.9,5.7,0.0
303,2,17.3,93.0,1.0,2.1,0.0
303,0,19.9,93.0,0.7,2.2,0.0
303,17,28.3,68.0,4.2,9.1,2312.358
303,3,22.1,87.0,1.2,3.3,0.0
303,19,28.8,68.0,2.9,8.0,1606.327
303,0,26.9,79.0,3.5,9.6,0.0
303,13,24.9,87.0,1.4,2.8,1262.161
303,21,28.3,76.0,3.3,7.8,254.447
303,23,22.7,88.0,2.7,5.0,0.0
303,1,23.6,89.0,2.4,6.0,0.0
303,19,25.1,70.0,4.3,11.6,1316.15
303,12,23.2,70.0,2.0,4.2,1432.96
303,3,18.2,94.0,1.0,2.6,0.0
303,6,17.9,90.0,0.7,2.6,0.0
303,1,24.6,79.0,3.7,8.8,0.0
303,12,25.4,72.0,1.7,3.8,1703.474
303,23,21.6,72.0,1.4,4.5,0.0
303,0,23.1,96.0,0.5,1.5,0.0
303,1,20.8,91.0,1.1,2.0,0.0
303,7,16.8,94.0,0.9,1.9,0.0
303,10,21.8,94.0,1.3,2.3,56.529
303,13,27.6,68.0,1.9,4.3,1652.546
303,14,29.0,56.0,4.6,10.1,3334.679
303,11,22.2,69.0,1.6,4.4,717.016
303,23,23.4,93.0,1.8,6.0,0.0
303,13,26.9,76.0,3.8,6.9,2098.837
303,15,23.6,72.0,2.3,5.3,1134.908
303,3,23.9,94.0,0.6,1.5,0.0
303,16,34.5,46.0,4.1,7.2,3699.033
303,3,22.9,82.0,2.7,9.6,0.0
303,12,25.5,71.0,2.7,7.5,1129.206
303,13,25.7,70.0,1.1,2.8,1336.775
303,3,23.8,90.0,0.6,3.3,0.0
303,14,24.3,62.0,2.7,7.5,2036.855
303,21,26.1,71.0,4.3,12.0,346.398
303,21,27.4,79.0,1.3,4.3,16.968
303,11,21.0,69.0,3.3,8.7,624.418
303,23,21.7,65.0,1.1,2.8,0.0
303,23,19.9,95.0,1.1,2.8,0.0
303,16,28.7,68.0,2.1,5.0,1798.978
303,19,23.6,74.0,2.8,6.0,1314.81
303,14,27.8,52.0,2.4,5.4,2347.644
303,18,29.0,56.0,1.9,8.0,2022.673
303,23,22.5,95.0,1.9,4.3,0.0
303,20,25.9,54.0,1.5,7.0,353.133
303,7,17.9,96.0,1.0,1.7,0.0
303,2,25.1,84.0,1.5,3.9,0.0
303,21,28.0,68.0,1.8,7.7,145.774
303,2,17.9,95.0,0.4,1.1,0.0
303,4,23.0,95.0,1.6,2.8,0.0
303,0,20.8,86.0,1.2,2.1,0.0
303,4,22.9,96.0,0.8,2.4,0.0
303,23,25.2,78.0,3.9,9.7,0.0
303,16,30.8,48.0,3.0,7.8,2555.517
303,15,25.3,69.0,2.0,5.1,1231.498
303,20,23.6,75.0,2.0,6.9,161.607
303,4,22.1,81.0,2.3,5.6,0.0
303,10,24.1,85.0,1.5,3.2,380.457
303,6,24.2,76.0,1.9,6.8,0.0
303,16,29.1,57.0,3.7,7.6,2625.64
303,21,23.5,94.0,0.8,4.0,72.71
303,5,20.6,85.0,0.5,4.2,0.0
303,14,24.7,50.0,2.9,6.4,1737.385
303,13,31.0,50.0,3.3,8.6,2814.676
303,14,24.4,65.0,2.5,6.5,1417.695
303,22,20.5,78.0,0.8,3.0,0.0
303,17,26.3,54.0,3.7,7.8,2897.767
303,3,23.1,89.0,1.1,2.6,0.0
303,11,25.5,80.0,1.3,3.1,1466.446
303,17,27.9,53.0,3.6,9.1,2560.775
303,16,28.8,42.0,3.3,7.3,2537.444
303,20,29.2,65.0,1.7,6.5,509.439
303,16,29.9,56.0,4.9,11.0,3561.684
303,6,19.7,91.0,1.1,3.1,0.0
303,7,22.6,96.0,0.9,1.8,0.0
303,2,22.5,67.0,1.6,5.8,0.0
303,5,22.7,95.0,1.3,2.2,0.0
303,9,18.7,89.0,1.3,4.3,0.0
303,16,28.2,68.0,2.9,7.0,2401.754
303,10,26.4,69.0,3.2,6.6,660.712
303,17,28.8,45.0,3.9,9.1,2539.827
303,9,22.4,97.0,0.5,1.7,43.36
303,16,27.6,65.0,2.3,5.8,1428.485
303,14,26.4,58.0,2.9,6.6,1940.124
303,13,22.8,93.0,2.3,7.2,479.715
303,17,29.5,57.0,5.5,11.0,3546.899
303,7,22.9,95.0,0.4,1.7,0.0
303,10,24.2,71.0,2.4,5.0,1022.874
303,8,17.1,94.0,1.3,2.1,0.0
303,1,23.3,75.0,0.9,6.6,0.0
303,14,29.3,47.0,3.4,8.2,2538.39
303,20,26.9,75.0,3.6,8.4,346.589
303,19,28.1,62.0,3.7,7.1,1377.907
303,16,23.6,88.0,3.1,9.0,667.178
303,15,22.5,71.0,3.9,7.8,1100.047
303,10,19.1,76.0,2.0,5.2,285.265
303,16,30.8,56.0,3.0,6.8,2768.94
303,6,23.5,96.0,1.4,2.0,0.0
303,8,23.3,94.0,0.3,2.4,0.0
303,6,23.4,97.0,1.0,2.7,0.0
303,10,19.9,81.0,1.0,2.8,23.709
303,11,28.0,63.0,3.6,8.0,2021.512
303,7,23.0,94.0,0.6,2.0,0.0
303,0,26.5,80.0,1.8,4.3,0.0
303,13,28.5,45.0,3.7,10.0,2662.079
303,21,23.3,77.0,2.1,6.0,3.304
303,18,23.2,55.0,2.4,5.7,1105.601
303,8,18.4,96.0,0.4,1.8,0.0
303,20,23.5,83.0,2.0,5.4,41.062
303,18,29.7,69.0,2.9,7.0,1575.707
303,14,25.5,66.0,2.3,4.7,2871.171
303,18,23.2,67.0,1.8,3.8,983.853
303,2,20.0,77.0,3.2,11.5,0.0
303,10,18.6,93.0,1.4,2.7,42.789
303,23,21.8,80.0,4.1,12.4,0.0
303,14,30.2,57.0,1.7,3.7,1942.523
303,21,26.2,74.0,2.0,7.0,335.036
303,6,18.1,92.0,0.9,1.6,0.0
303,1,25.7,89.0,0.9,1.8,0.0
303,19,27.0,65.0,3.4,7.8,1106.961
303,5,25.5,86.0,1.9,4.7,0.0
303,18,29.7,65.0,5.5,11.3,2616.3
303,17,31.1,59.0,3.3,9.0,2994.61
303,4,25.1,73.0,2.1,7.1,0.0
303,1,19.4,82.0,1.4,6.1,0.0
303,17,26.1,81.0,1.9,5.8,794.22
303,8,21.8,78.0,2.0,4.8,0.0
303,1,23.3,93.0,0.9,3.3,0.0
303,19,24.5,83.0,2.3,4.4,309.589
303,12,27.7,53.0,1.9,5.9,2419.582
303,13,28.7,54.0,3.9,11.0,1956.183
303,19,26.0,71.0,3.7,10.7,941.439
303,3,24.1,96.0,1.8,5.2,0.0
303,20,27.0,73.0,3.2,8.5,1029.48
303,16,29.7,55.0,3.5,8.4,2522.346
303,22,26.5,81.0,2.2,5.0,0.0
303,5,23.4,94.0,0.6,1.4,0.0
303,2,22.7,77.0,1.6,4.0,0.0
303,10,18.6,90.0,0.8,2.9,49.893
303,18,25.0,65.0,3.0,6.2,869.072
303,5,19.6,95.0,0.2,1.2,0.0
303,21,29.8,65.0,1.9,4.9,218.717
303,4,19.7,93.0,0.8,4.8,0.0
303,10,20.9,97.0,0.8,1.5,109.39
303,3,17.5,95.0,1.2,2.2,0.0
303,7,25.5,85.0,1.7,6.2,0.0
303,7,22.7,96.0,0.9,1.7,0.0
303,14,26.7,71.0,2.0,4.2,1093.433
303,9,22.1,95.0,0.8,2.4,11.598
303,21,20.8,60.0,3.1,9.9,11.722
303,8,18.3,75.0,1.6,4.8,0.0
303,13,24.9,49.0,2.2,6.5,2301.222
303,9,24.5,83.0,0.7,1.7,81.984
303,2,19.2,64.0,2.8,10.5,0.0
303,11,23.2,62.0,2.0,4.2,1706.36
303,19,28.7,59.0,4.6,9.8,2229.919
303,15,29.9,55.0,4.4,10.4,3947.508
303,1,26.4,72.0,3.0,6.7,0.0
303,2,20.6,95.0,0.8,2.0,0.0
303,1,25.2,90.0,0.9,1.5,0.0
303,0,19.9,85.0,1.2,2.3,0.0
303,12,27.7,57.0,4.2,8.2,1928.337
303,10,21.7,95.0,0.4,1.2,115.209
303,20,24.4,82.0,2.2,4.8,270.938
303,17,32.2,36.0,2.8,7.5,2169.393
303,18,23.9,70.0,3.2,7.4,998.319
303,22,25.4,78.0,2.3,5.2,0.0
303,17,27.0,54.0,3.2,6.8,2553.499
303,1,22.2,89.0,2.7,9.4,0.0
303,11,26.2,69.0,1.5,4.3,1419.382
303,6,17.1,97.0,1.0,2.4,0.0
303,8,20.6,97.0,0.7,2.6,0.0
303,19,23.5,80.0,2.6,5.7,491.467
303,5,23.5,81.0,1.4,4.9,0.0
303,7,22.6,95.0,1.2,2.2,0.0
303,10,24.4,88.0,1.4,3.4,387.873
303,8,18.2,97.0,1.0,2.2,0.0
303,3,22.3,80.0,1.7,7.2,0.0
303,1,21.6,86.0,0.6,1.6,0.0
303,11,26.4,75.0,2.5,6.7,432.67
303,0,22.5,92.0,0.9,2.5,0.0
303,11,22.8,67.0,2.6,6.1,1077.409
303,17,25.2,81.0,1.5,3.5,623.495
303,19,24.1,57.0,3.4,7.7,1446.468
303,16,25.1,50.0,2.9,6.5,2809.181
303,15,29.6,62.0,3.3,6.8,2970.675
303,17,26.6,42.0,4.0,8.3,3224.888
303,16,31.4,64.0,1.8,5.1,1986.624
303,17,29.8,62.0,4.6,11.1,3381.945
303,14,25.8,74.0,3.0,7.5,1362.588
303,14,30.7,52.0,1.4,3.2,2731.115
303,16,29.9,45.0,3.3,7.4,2567.296
303,5,19.8,95.0,1.0,2.2,0.0
303,19,25.7,57.0,3.1,6.3,693.01
303,20,24.7,67.0,3.3,9.4,168.42
303,20,29.1,68.0,3.1,9.5,840.494
303,4,23.2,96.0,0.8,1.2,0.0
303,8,22.6,91.0,1.2,3.6,0.0
303,6,22.6,77.0,2.3,7.7,0.0
303,14,30.4,52.0,3.1,8.4,2641.002
303,17,29.3,68.0,3.0,6.6,3419.591
303,12,29.3,57.0,1.7,4.5,2118.78
303,7,22.1,86.0,1.5,5.4,0.0
303,16,29.7,60.0,4.1,8.2,2426.204
303,19,25.8,67.0,3.3,6.5,1021.203
303,13,28.8,64.0,1.4,3.4,2025.793
303,22,22.2,68.0,1.9,6.3,0.0
303,1,21.7,94.0,0.9,1.7,0.0
303,14,32.7,48.0,2.5,5.9,3299.638
303,21,22.3,57.0,1.9,5.3,48.755
303,14,31.8,52.0,3.1,7.2,3250.502
303,8,17.8,97.0,0.9,1.7,0.0
303,0,25.5,83.0,1.6,3.8,0.0
303,16,30.5,60.0,3.4,7.2,2211.978
303,7,18.7,95.0,1.2,2.3,0.0
303,10,23.5,94.0,1.3,2.3,318.174
303,9,21.2,95.0,1.0,2.2,73.321
303,9,23.4,95.0,0.6,1.6,76.17
303,18,29.7,61.0,5.7,11.8,2447.245
303,17,25.3,60.0,3.7,7.6,1838.941
303,8,22.6,91.0,1.1,2.4,0.0
303,8,16.5,96.0,1.2,1.8,0.0
303,5,25.5,83.0,3.1,5.7,0.0
303,19,29.3,64.0,3.5,7.4,1962.065
303,11,21.5,69.0,1.3,3.4,433.107
303,22,23.9,91.0,2.2,7.5,0.0
303,6,19.8,97.0,0.9,1.4,0.0
303,10,27.7,72.0,3.2,7.5,743.701
303,6,18.2,91.0,0.9,2.6,0.0
303,21,24.5,71.0,2.9,8.5,9.171
303,22,25.0,81.0,0.8,4.7,0.0
303,16,26.8,48.0,3.2,6.6,2939.362
303,10,25.1,77.0,2.8,6.4,477.285
303,20,28.3,64.0,3.9,8.4,1064.902
303,15,28.3,53.0,3.9,8.4,3569.665
303,18,28.4,63.0,4.0,7.1,1760.093
303,4,18.2,96.0,1.0,2.1,0.0
303,11,19.4,95.0,1.1,2.1,136.083
303,23,23.6,94.0,0.2,1.1,0.0
303,8,20.3,97.0,0.3,2.5,0.0
303,8,22.6,97.0,2.2,4.6,0.0
303,1,23.6,90.0,0.8,1.8,0.0
303,14,28.5,56.0,3.5,7.9,3791.023
303,14,28.7,48.0,1.9,6.1,2498.485
303,11,21.3,95.0,1.2,3.2,749.555
303,5,21.9,75.0,1.2,5.7,0.0
303,16,28.3,60.0,2.9,7.2,2913.386
303,10,18.4,92.0,0.4,3.1,16.254
303,12,26.8,73.0,2.6,5.6,2482.901
303,16,31.2,50.0,3.1,7.2,3580.614
303,17,30.6,62.0,4.9,9.4,3350.785
303,2,21.1,95.0,0.7,1.7,0.0
303,16,24.8,69.0,2.7,6.4,1715.638
303,22,23.8,73.0,2.6,5.9,0.0
303,4,22.7,95.0,1.0,2.3,0.0
303,4,24.2,83.0,1.0,5.9,0.0
303,16,31.5,45.0,4.6,11.2,3121.236
303,22,25.8,73.0,3.4,8.8,0.0
303,16,30.2,51.0,5.3,11.6,3484.429
303,11,21.3,82.0,1.8,3.4,846.621
303,0,24.0,93.0,0.5,1.0,0.0
303,22,26.2,75.0,2.7,8.7,16.627
303,7,17.5,92.0,0.9,2.5,0.0
303,4,20.7,96.0,1.4,2.6,0.0
303,17,27.6,65.0,3.0,7.3,3097.078
303,19,22.9,56.0,3.4,10.2,1208.634
303,15,31.2,52.0,3.4,6.5,3660.647
303,17,22.8,67.0,2.9,6.6,2169.443
303,10,23.6,80.0,1.9,3.9,471.555
303,10,16.8,95.0,0.8,3.3,39.536
303,19,23.5,93.0,1.1,3.5,241.636
303,12,22.8,66.0,2.3,4.2,1123.873
303,10,24.3,94.0,1.1,2.3,332.987
303,15,28.5,67.0,2.7,6.2,2288.485
303,9,21.3,97.0,1.1,1.9,0.0
303,23,27.6,76.0,1.6,3.6,0.0
303,22,26.3,76.0,1.6,5.1,0.0
303,7,23.3,97.0,0.8,3.5,0.0
303,8,18.2,96.0,1.7,4.2,0.0
303,7,24.8,82.0,2.7,6.7,0.0
303,7,19.7,96.0,0.7,2.6,0.0
303,20,25.7,67.0,4.0,10.7,611.206
303,23,25.2,76.0,2.4,5.5,0.0
303,22,21.9,95.0,0.8,1.7,0.0
303,22,23.8,80.0,3.0,7.8,0.0
303,21,23.2,81.0,1.6,6.6,3.632
303,0,25.3,78.0,2.7,7.3,0.0
303,7,21.9,71.0,1.6,4.3,0.0
303,23,22.0,78.0,2.8,7.4,0.0
303,23,24.0,89.0,0.5,2.4,0.0
303,9,22.6,77.0,2.2,5.6,0.0
303,8,21.1,90.0,1.3,3.0,0.0
303,15,26.2,64.0,2.1,4.2,1803.5
303,23,24.9,73.0,3.8,7.7,0.0
303,14,27.9,59.0,3.7,7.0,3579.976
303,1,25.4,82.0,3.3,6.3,0.0
303,23,25.0,79.0,3.5,8.9,0.0
303,4,24.6,75.0,2.9,7.2,0.0
303,0,24.7,82.0,0.8,3.9,0.0
303,10,17.7,97.0,1.1,2.7,83.043
303,5,25.2,78.0,2.6,5.3,0.0
303,10,21.0,81.0,1.2,2.3,473.109
303,23,21.8,84.0,0.6,1.9,0.0
303,16,28.6,62.0,2.7,6.4,2483.317
303,7,24.5,89.0,3.6,7.7,0.0
303,14,27.7,65.0,2.7,5.3,2964.684
303,8,22.6,96.0,1.0,1.7,0.0
303,9,26.6,79.0,1.2,5.8,84.04
303,3,24.9,84.0,3.0,6.3,0.0
303,5,21.7,86.0,0.6,2.6,0.0
303,8,18.1,97.0,1.1,2.0,0.0
303,23,23.4,81.0,0.8,1.6,0.0
303,0,21.8,67.0,2.5,6.9,0.0
303,8,18.7,95.0,0.8,1.7,0.0
303,20,28.5,70.0,4.2,11.6,1331.563
303,19,24.0,67.0,2.7,5.9,1457.242
303,7,22.4,89.0,0.7,4.9,0.0
303,18,22.2,77.0,0.9,2.5,449.337
303,22,25.9,80.0,1.6,3.3,0.0
303,6,19.2,96.0,1.2,2.8,0.0
303,20,27.9,64.0,3.1,7.6,1198.378
303,17,25.6,60.0,3.4,7.6,2377.796
303,3,19.2,96.0,0.6,1.5,0.0
303,14,29.3,64.0,2.6,5.2,3642.71
303,10,15.5,83.0,1.9,3.7,92.13
303,5,21.6,95.0,0.8,1.9,0.0
303,11,28.5,58.0,4.6,10.2,1853.61
303,6,22.2,97.0,1.3,3.2,0.0
303,8,22.5,97.0,0.7,2.3,0.0
303,18,35.4,38.0,2.6,6.1,2344.691
303,0,22.8,77.0,1.6,4.3,0.0
303,0,25.0,87.0,1.0,3.1,0.0
303,20,23.5,92.0,1.5,4.1,175.688
303,12,22.2,88.0,4.0,10.7,567.413
303,5,18.4,96.0,1.2,1.8,0.0
303,8,19.0,74.0,4.0,10.7,0.0
303,14,19.9,94.0,0.9,1.8,490.964
303,15,27.5,40.0,2.7,6.3,3724.398
303,4,25.2,83.0,2.5,6.8,0.0
303,18,25.1,58.0,4.5,10.1,2450.568
303,6,23.5,96.0,1.6,2.5,0.0
303,0,21.9,95.0,0.7,1.7,0.0
303,12,26.2,78.0,2.8,6.2,1772.542
303,6,19.1,96.0,0.4,1.3,0.0
303,11,28.0,74.0,0.8,2.1,1234.174
303,7,23.2,81.0,2.3,4.4,0.0
303,23,26.3,81.0,3.1,8.9,0.0
303,7,19.6,66.0,2.2,6.7,0.0
303,3,20.7,95.0,1.1,2.2,0.0
303,12,22.5,62.0,2.1,3.8,1598.646
303,17,25.7,64.0,4.2,10.3,2607.072
